0	java/lang/String/split(java.lang.String)
1	org/languagetool/rules/ca/ComplexAdjectiveConcordanceRule/toRuleMatchArray(java.util.List)
2	java/util/Scanner/close()
3	org/languagetool/AnalyzedTokenReadings/hasLemma(java.lang.String)
4	java/util/Iterator/hasNext()
5	org/languagetool/JLanguageTool/getDataBroker()
6	java/lang/String/isEmpty()
7	java/util/HashMap/HashMap()
8	java/lang/StringBuilder/toString()
9	java/lang/StringBuilder/append(java.lang.String)
10	java/lang/Throwable/addSuppressed(java.lang.Throwable)
11	org/languagetool/rules/RuleMatch/setSuggestedReplacements(java.util.List)
12	java/util/regex/Matcher/matches()
13	java/lang/String/equalsIgnoreCase(java.lang.String)
14	java/lang/String/equals(java.lang.Object)
15	java/util/Scanner/Scanner(java.io.InputStream,java.lang.String)
16	java/util/ArrayList/ArrayList()
17	java/util/List/iterator()
18	org/languagetool/rules/RuleMatch/RuleMatch(org.languagetool.rules.Rule,int,int,java.lang.String,java.lang.String)
19	java/lang/String/toLowerCase()
20	java/lang/StringBuilder/append(java.lang.Object)
21	java/util/Iterator/next()
22	java/lang/String/trim()
23	java/util/Scanner/hasNextLine()
24	java/util/Arrays/asList(java.lang.Object[])
25	org/languagetool/AnalyzedTokenReadings/getStartPos()
26	java/lang/StringBuilder/StringBuilder()
27	org/languagetool/AnalyzedTokenReadings/AnalyzedTokenReadings(org.languagetool.AnalyzedToken,int)
28	org/languagetool/databroker/ResourceDataBroker/getFromRulesDirAsStream(java.lang.String)
29	org/languagetool/AnalyzedTokenReadings/getToken()
30	java/io/IOException/IOException(java.lang.String)
31	morfologik/stemming/WordData/getStem()
32	morfologik/stemming/IStemmer/lookup(java.lang.CharSequence)
33	org/languagetool/rules/ca/ReflexiveVerbsRule/toRuleMatchArray(java.util.List)
34	java/lang/String/length()
35	org/languagetool/AnalyzedTokenReadings/getEndPos()
36	java/util/Map/put(java.lang.Object,java.lang.Object)
37	java/util/Scanner/nextLine()
38	java/lang/CharSequence/toString()
39	java/util/regex/Pattern/matcher(java.lang.CharSequence)
40	org/languagetool/databroker/ResourceDataBroker/getFromRulesDirAsUrl(java.lang.String)
41	org/languagetool/tools/StringTools/startsWithUppercase(java.lang.String)
42	java/util/List/add(java.lang.Object)
43	org/languagetool/AnalyzedSentence/getTokensWithoutWhitespace()
44	org/languagetool/AnalyzedToken/AnalyzedToken(java.lang.String,java.lang.String,java.lang.String)
45	java/util/ArrayList/add(java.lang.Object)
46	java/lang/StringBuilder/append(int)
47	java/lang/String/charAt(int)
